Hand,Equity,Rake_Adj_Equity,VPIP,PR
AA,0.74466,0.6925338,45,100.0
KK,0.640939,0.59607327,45,99.40828402366864
QQ,0.569254,0.52940622,45,98.81656804733728
JJ,0.519259,0.48291087,45,98.22485207100591
AKs,0.48615,0.4521195,45,97.63313609467455
TT,0.481476,0.44777268,45,97.0414201183432
AKo,0.458923,0.42679838999999997,45,96.44970414201184
AQs,0.457981,0.42592233,45,95.85798816568047
99,0.443529,0.41248197,45,95.26627218934911
AJs,0.434244,0.40384692,45,94.67455621301775
AQo,0.429232,0.39918576,45,94.0828402366864
ATs,0.41649,0.3873357,45,93.49112426035504
88,0.413464,0.38452151999999995,45,92.89940828402366
AJo,0.404461,0.37614873,45,92.3076923076923
77,0.389143,0.36190299,45,91.71597633136095
KQs,0.386271,0.35923203,45,91.12426035502959
ATo,0.385291,0.35832063,45,90.53254437869822
A9s,0.385042,0.35808905999999996,45,89.94082840236686
KJs,0.371224,0.34523832,45,89.3491124260355
66,0.368528,0.34273104,45,88.75739644970415
A8s,0.368122,0.34235346,45,88.16568047337277
KTs,0.356435,0.33148455,45,87.57396449704143
KQo,0.355363,0.33048758999999994,45,86.98224852071006
A7s,0.35339,0.32865269999999996,45,86.3905325443787
55,0.351129,0.32654997,45,85.79881656804734
A9o,0.350177,0.32566460999999997,45,85.20710059171599
QJs,0.344805,0.32066864999999994,45,84.61538461538461
A5s,0.341705,0.31778565,45,84.02366863905326
A6s,0.339766,0.31598238,45,83.4319526627219
KJo,0.337195,0.31359135,45,82.84023668639054
QTs,0.33661,0.3130473,45,82.24852071005917
A4s,0.33328,0.3099504,45,81.65680473372781
JTs,0.331847,0.30861771,45,81.06508875739645
A8o,0.330832,0.30767376,45,80.4733727810651
44,0.329349,0.30629457,45,79.88165680473372
K9s,0.328041,0.30507813,45,79.28994082840237
A3s,0.324258,0.30155993999999997,45,78.69822485207101
KTo,0.322531,0.29995383,45,78.10650887573965
A2s,0.318486,0.29619197999999997,45,77.51479289940828
A7o,0.316575,0.29441475,45,76.92307692307693
T9s,0.313538,0.29159033999999995,45,76.33136094674556
33,0.312038,0.29019533999999997,45,75.7396449704142
Q9s,0.311249,0.28946157,45,75.14792899408283
QJo,0.31123,0.2894439,45,74.55621301775149
J9s,0.308697,0.28708820999999995,45,73.96449704142012
K8s,0.306461,0.28500873,45,73.37278106508876
A5o,0.30475,0.2834175,45,72.7810650887574
98s,0.303241,0.28201413,45,72.18934911242604
A6o,0.301807,0.28068051,45,71.59763313609467
QTo,0.301314,0.28022202,45,71.00591715976331
T8s,0.301095,0.28001834999999997,45,70.41420118343196
87s,0.300803,0.27974678999999997,45,69.8224852071006
JTo,0.298101,0.27723392999999996,45,69.23076923076923
22,0.297236,0.27642948,45,68.63905325443787
K7s,0.296853,0.27607328999999997,45,68.04733727810651
76s,0.296673,0.27590589,45,67.45562130177515
A4o,0.294496,0.27388127999999995,45,66.86390532544378
J8s,0.293367,0.27283131,45,66.27218934911244
K9o,0.292135,0.27168554999999994,45,65.68047337278107
Q8s,0.291629,0.27121497,45,65.08875739644971
97s,0.291457,0.27105501,45,64.49704142011834
65s,0.2907,0.270351,45,63.905325443786985
K6s,0.28958,0.2693094,45,63.31360946745562
86s,0.287972,0.26781395999999996,45,62.721893491124256
T7s,0.287796,0.26765027999999996,45,62.1301775147929
A3o,0.287034,0.26694162,45,61.53846153846154
75s,0.283062,0.26324765999999994,45,60.946745562130175
54s,0.28195,0.2622135,45,60.35502958579882
A2o,0.281493,0.26178849,45,59.76331360946746
K5s,0.281439,0.26173827,45,59.171597633136095
T9o,0.281069,0.26139417,45,58.57988165680473
96s,0.280692,0.26104355999999995,45,57.98816568047337
J7s,0.280509,0.26087337,45,57.396449704142015
Q7s,0.276932,0.25754676,45,56.80473372781065
Q6s,0.275477,0.25619361,45,56.213017751479285
Q9o,0.275441,0.25616013,45,55.62130177514793
T6s,0.275403,0.25612479,45,55.02958579881657
64s,0.274352,0.25514736,45,54.437869822485204
J9o,0.273337,0.25420340999999996,45,53.84615384615385
K4s,0.272932,0.25382676,45,53.25443786982249
85s,0.272463,0.25339058999999997,45,52.662721893491124
53s,0.269333,0.25047969,45,52.071005917159766
Q5s,0.267974,0.24921581999999998,45,51.4792899408284
98o,0.267728,0.24898704,45,50.887573964497044
K3s,0.267275,0.24856574999999997,45,50.29585798816568
J6s,0.267105,0.24840764999999998,45,49.70414201183432
74s,0.266876,0.24819467999999997,45,49.112426035502956
K8o,0.266777,0.24810260999999997,45,48.5207100591716
T8o,0.265875,0.24726374999999995,45,47.928994082840234
87o,0.265028,0.24647603999999998,45,47.337278106508876
J5s,0.26403,0.24554789999999996,45,46.74556213017752
95s,0.263822,0.24535446,45,46.15384615384615
43s,0.263005,0.24459464999999997,45,45.562130177514796
K2s,0.262919,0.24451467,45,44.97041420118343
76o,0.262686,0.24429797999999997,45,44.37869822485207
63s,0.262578,0.24419753999999996,45,43.786982248520715
Q4s,0.261892,0.24355956,45,43.19526627218935
T5s,0.259194,0.24105041999999996,45,42.60355029585799
Q3s,0.258496,0.24040128,45,42.01183431952663
K7o,0.258089,0.24002277,45,41.42011834319527
J4s,0.257811,0.23976423,45,40.828402366863905
J8o,0.257252,0.23924435999999996,45,40.23668639053255
97o,0.256391,0.23844362999999996,45,39.64497041420118
65o,0.25595,0.23803349999999998,45,39.053254437869825
84s,0.255898,0.23798513999999998,45,38.46153846153847
T4s,0.255327,0.23745411,45,37.8698224852071
J3s,0.255193,0.23732948999999998,45,37.278106508875744
Q8o,0.255101,0.23724393,45,36.68639053254438
Q2s,0.254621,0.23679752999999998,45,36.09467455621302
T3s,0.254434,0.23662361999999998,45,35.50295857988166
52s,0.253843,0.23607398999999998,45,34.9112426035503
86o,0.252575,0.23489474999999999,45,34.319526627218934
T7o,0.252458,0.23478594,45,33.72781065088758
73s,0.251487,0.23388291,45,33.13609467455622
K6o,0.250473,0.23293988999999998,45,32.544378698224854
J2s,0.250331,0.23280783000000002,45,31.952662721893493
T2s,0.248086,0.23071998,45,31.360946745562128
42s,0.247865,0.23051444999999998,45,30.76923076923077
75o,0.247837,0.23048840999999998,45,30.17751479289941
93s,0.247391,0.23007362999999997,45,29.585798816568047
62s,0.246455,0.22920315,45,28.994082840236686
54o,0.24632,0.2290776,45,28.402366863905325
94s,0.245765,0.22856145,45,27.810650887573964
96o,0.243984,0.22690512,45,27.218934911242602
J7o,0.243892,0.22681955999999998,45,26.627218934911244
32s,0.243365,0.22632945,45,26.035502958579883
83s,0.242761,0.22576773,45,25.443786982248522
92s,0.242751,0.22575842999999998,45,24.85207100591716
K5o,0.24173,0.22480889999999998,45,24.2603550295858
82s,0.240192,0.22337855999999998,45,23.668639053254438
64o,0.240101,0.22329393,45,23.076923076923077
Q7o,0.239405,0.22264665,45,22.485207100591715
T6o,0.239177,0.22243460999999998,45,21.893491124260358
Q6o,0.236985,0.22039604999999998,45,21.301775147928996
85o,0.236401,0.21985292999999997,45,20.710059171597635
72s,0.235993,0.21947349,45,20.118343195266274
53o,0.233403,0.21706478999999998,45,19.526627218934912
K4o,0.232233,0.21597668999999997,45,18.93491124260355
J6o,0.230257,0.21413900999999996,45,18.34319526627219
Q5o,0.229909,0.21381536999999998,45,17.75147928994083
74o,0.22873,0.2127189,45,17.159763313609467
K3o,0.227263,0.21135458999999998,45,16.56804733727811
95o,0.226951,0.21106443,45,15.976331360946746
43o,0.225686,0.20988797999999997,45,15.384615384615385
J5o,0.225402,0.20962385999999997,45,14.792899408284024
63o,0.22483,0.2090919,45,14.201183431952662
Q4o,0.223402,0.20776385999999997,45,13.609467455621301
K2o,0.221762,0.20623865999999996,45,13.017751479289942
T5o,0.221414,0.20591501999999998,45,12.42603550295858
Q3o,0.219352,0.20399736,45,11.834319526627219
J4o,0.219298,0.20394713999999997,45,11.242603550295858
84o,0.2172,0.20199599999999998,45,10.650887573964498
52o,0.216813,0.20163609,45,10.059171597633137
T4o,0.216631,0.20146682999999999,45,9.467455621301776
J3o,0.216234,0.20109762,45,8.875739644970414
T3o,0.214681,0.19965333,45,8.284023668639055
Q2o,0.214507,0.19949150999999998,45,7.6923076923076925
