Hand,Win_Rate_%,Tie_Rate_%,PR,Equity
AA,73.2,0.57,100.0,0.734847
KK,68.63,0.59,99.4,0.6892959999999999
QQ,64.69,0.65,98.8,0.650142
JJ,60.89,0.73,98.2,0.6125659999999999
TT,57.12,0.78,97.6,0.575106
99,53.12,0.81,97.0,0.535282
AKs,50.0,1.95,96.4,0.509721
88,49.59,0.86,95.9,0.500182
AQs,48.37,2.16,95.3,0.494528
AKo,47.33,2.01,94.7,0.483375
AJs,46.96,2.44,94.1,0.481783
KQs,46.02,2.2,93.5,0.47124299999999997
ATs,45.74,2.7,92.9,0.470922
AQo,45.84,2.21,92.3,0.469483
77,46.05,0.89,91.7,0.464928
KJs,44.72,2.41,91.1,0.459263
AJo,44.29,2.51,90.5,0.455489
KTs,43.5,2.65,89.9,0.448277
A9s,42.99,3.05,89.3,0.445162
KQo,43.33,2.23,88.8,0.44447200000000003
ATo,42.89,2.84,88.2,0.443079
QJs,43.02,2.51,87.6,0.442772
A8s,41.82,3.39,87.0,0.435149
66,42.85,0.92,86.4,0.433106
QTs,41.9,2.75,85.8,0.4327
KJo,41.98,2.51,85.2,0.432298
A7s,40.61,3.68,84.6,0.42452199999999995
K9s,40.96,2.94,84.0,0.42433299999999996
KTo,40.62,2.76,83.4,0.419956
JTs,40.59,2.77,82.8,0.419777
A5s,39.43,4.18,82.2,0.415174
A9o,39.9,3.18,81.7,0.414896
QJo,40.1,2.58,81.1,0.413948
A6s,39.25,3.92,80.5,0.41213
Q9s,39.21,3.0,79.9,0.40704
A4s,38.5,4.21,79.3,0.40607000000000004
A8o,38.82,3.56,78.7,0.405995
QTo,38.87,2.82,78.1,0.40279800000000004
55,39.65,1.06,77.5,0.401855
K8s,38.48,3.29,76.9,0.401296
A3s,37.67,4.06,76.3,0.397038
J9s,38.11,3.01,75.7,0.396177
A7o,37.49,3.91,75.1,0.394447
K7s,37.59,3.62,74.6,0.394007
JTo,37.84,2.85,74.0,0.392693
K9o,37.62,3.11,73.4,0.391763
T9s,37.54,3.01,72.8,0.39047000000000004
A2s,36.82,4.02,72.2,0.38830000000000003
Q8s,37.0,3.23,71.6,0.386186
K6s,36.64,3.78,71.0,0.385243
A5o,36.14,4.35,70.4,0.383174
A6o,35.95,4.09,69.8,0.379887
Q9o,36.24,3.1,69.2,0.37791800000000003
K5s,35.59,4.04,68.6,0.376088
J8s,35.91,3.21,68.0,0.37518
A4o,35.21,4.35,67.5,0.373884
44,36.51,1.07,66.9,0.370449
K8o,35.31,3.42,66.3,0.37020600000000004
T8s,35.14,3.26,65.7,0.367677
K4s,34.68,3.96,65.1,0.366626
Q7s,34.85,3.5,64.5,0.366014
J9o,34.92,3.11,63.9,0.364753
A3o,34.16,4.27,63.3,0.362992
98s,34.51,3.23,62.7,0.361261
K7o,34.17,3.82,62.1,0.360775
Q6s,34.1,3.76,61.5,0.359797
K3s,33.84,3.94,60.9,0.358031
T9o,34.22,3.1,60.4,0.357694
J7s,33.78,3.46,59.8,0.355063
Q8o,33.73,3.37,59.2,0.354188
A2o,33.22,4.23,58.6,0.353402
K6o,33.11,4.0,58.0,0.351104
K2s,33.09,3.85,57.4,0.35008799999999995
Q5s,33.04,3.88,56.8,0.349797
T7s,33.09,3.46,56.2,0.348194
